Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Demo Suite,Firefox 56.0,,2018-11-16 03:23:31,2018-11-16 03:24:46,1m - 14.583s,PASSED
,,,,,,
Test Cases/Alert,Firefox 56.0,,2018-11-16 03:23:31,2018-11-16 03:24:00,28.595s,PASSED
openBrowser,Firefox 56.0,,2018-11-16 03:23:32,2018-11-16 03:23:39,7.621s,PASSED
navigateToUrl,Firefox 56.0,1. Go to Alert Demo Screen,2018-11-16 03:23:39,2018-11-16 03:23:43,4.026s,PASSED
waitForElementVisible,Firefox 56.0,,2018-11-16 03:23:43,2018-11-16 03:23:44,0.136s,PASSED
maximizeWindow,Firefox 56.0,,2018-11-16 03:23:44,2018-11-16 03:23:44,0.032s,PASSED
delay,Firefox 56.0,,2018-11-16 03:23:44,2018-11-16 03:23:46,2.024s,PASSED
click,Firefox 56.0,2. Click on the second [Click me!] button,2018-11-16 03:23:46,2018-11-16 03:23:46,0.135s,PASSED
delay,Firefox 56.0,,2018-11-16 03:23:46,2018-11-16 03:23:48,2.001s,PASSED
Statement - driver = com.kms.katalon.core.webui.driver.DriverFactory.getWebDriver(),Firefox 56.0,3.1. Option2 - Getting the text from the alert and storing it in Variable,2018-11-16 03:23:48,2018-11-16 03:23:48,0.009s,PASSED
Statement - alertText = driver.switchTo().alert().getText(),Firefox 56.0,,2018-11-16 03:23:48,2018-11-16 03:23:48,0.085s,PASSED
verifyMatch,Firefox 56.0,3.2. Verify Alert Text,2018-11-16 03:23:48,2018-11-16 03:23:48,0.009s,PASSED
acceptAlert,Firefox 56.0,4. Click on [OK] from Alert,2018-11-16 03:23:48,2018-11-16 03:23:48,0.136s,PASSED
verifyElementText,Firefox 56.0,5. Verify you clicked on [OK],2018-11-16 03:23:48,2018-11-16 03:23:48,0.099s,PASSED
delay,Firefox 56.0,,2018-11-16 03:23:48,2018-11-16 03:23:51,3.002s,PASSED
click,Firefox 56.0,6. Click on the second [Click me!] button,2018-11-16 03:23:51,2018-11-16 03:23:51,0.093s,PASSED
delay,Firefox 56.0,,2018-11-16 03:23:51,2018-11-16 03:23:53,2.006s,PASSED
dismissAlert,Firefox 56.0,7. Click on [Cancel] from Alert,2018-11-16 03:23:53,2018-11-16 03:23:53,0.070s,PASSED
verifyElementText,Firefox 56.0,8. Verify you clicked on [Cancel],2018-11-16 03:23:53,2018-11-16 03:23:53,0.011s,PASSED
delay,Firefox 56.0,,2018-11-16 03:23:53,2018-11-16 03:23:55,2.017s,PASSED
scrollToElement,Firefox 56.0,,2018-11-16 03:23:55,2018-11-16 03:23:55,0.064s,PASSED
click,Firefox 56.0,9. Click on [Click for Prompt Box] button,2018-11-16 03:23:55,2018-11-16 03:23:55,0.087s,PASSED
delay,Firefox 56.0,,2018-11-16 03:23:55,2018-11-16 03:23:57,2.003s,PASSED
setAlertText,Firefox 56.0,,2018-11-16 03:23:57,2018-11-16 03:23:58,0.068s,PASSED
delay,Firefox 56.0,,2018-11-16 03:23:58,2018-11-16 03:24:00,2.002s,PASSED
